exact_match,index,llm_residual_bytes(new-pred),model_delta_bytes(pred-old),new_bytes,new_len,old_len,percent_predicted,pred_bytes,pred_len,true_delta_bytes(new-old)
0,2,1,4,98,98,100,0.9897959183673469,97,97,4
0,3,1,4,165,165,167,0.9939393939393939,164,164,4
0,4,3,4,117,117,119,0.9743589743589743,114,114,4
0,5,1,2,304,304,315,0.9967105263157895,303,303,3
0,6,13,224,256,256,267,0.94921875,243,243,3
0,7,1,2,204,204,207,0.9950980392156863,203,203,3
0,8,1,2,32,32,31,0.96875,31,31,2
0,9,2,4,50,50,48,0.96,48,48,4
0,10,1,16,198,198,190,0.9949494949494949,197,197,16
0,11,1,52,228,228,220,0.9956140350877193,227,227,52
0,12,1,52,428,428,420,0.9976635514018691,427,427,52
0,13,6,56,307,307,300,0.9804560260586319,306,306,63
0,14,1,8,117,117,113,0.9914529914529915,116,116,8
0,15,1,8,145,145,141,0.993103448275862,144,144,8
0,16,1,2,77,77,76,0.987012987012987,76,76,2
0,17,112,4,213,213,211,0.4741784037558685,101,101,7
0,18,1,8,99,99,95,0.98989898989899,98,98,8
0,19,1,6,138,138,135,0.9927536231884058,137,137,6
0,20,1,2,235,235,238,0.9957446808510638,238,238,3
0,21,0,153,299,299,301,1.0,447,447,48
0,22,1,4,329,329,331,0.9969604863221885,328,328,5
0,23,1,52,375,375,367,0.9973333333333333,374,374,52
0,24,1,52,423,423,415,0.9976359338061466,422,422,52
0,25,1,52,597,597,589,0.998324958123953,596,596,52
0,26,6,200,532,532,525,0.9887218045112782,681,681,57
0,27,1,2,221,221,220,0.995475113122172,220,220,3
0,28,0,150,241,241,240,1.0,388,388,3
0,29,305,386,735,735,733,0.5850340136054422,783,783,14
0,30,1,38,910,910,906,0.9989010989010989,909,909,38
0,31,1,50,949,949,944,0.9989462592202318,948,948,50
0,32,21,8,385,385,388,0.9454545454545454,394,394,3
0,33,2,2,513,513,516,0.9961013645224172,511,511,3
0,34,1,2,421,421,424,0.997624703087886,420,420,3
0,35,11,0,936,936,942,0.9882478632478633,933,933,11
0,36,110,4,1254,1254,1258,0.9122807017543859,1167,1167,17
0,37,5,134,566,566,564,0.991166077738516,698,698,5
0,38,1,20,446,446,442,0.9977578475336323,445,445,21
0,39,1,44,516,516,510,0.998062015503876,515,515,45
0,40,2,43,487,487,482,0.9958932238193019,485,485,43
0,41,10,165,368,368,368,0.9728260869565217,520,520,15
0,42,1,28,454,454,458,0.9977973568281938,453,453,29
0,43,83,19,928,928,934,0.9105603448275862,845,845,20
0,44,4,135,249,249,248,0.9839357429718876,382,382,3
0,45,1,3,253,253,252,0.9960474308300395,252,252,3
0,46,0,154,241,241,240,1.0,391,391,4
0,47,10,160,235,235,234,0.9574468085106383,382,382,4
0,48,1,178,285,285,284,0.9964912280701754,459,459,3
0,49,34,42,484,484,481,0.9297520661157025,486,486,7
0,50,33,0,498,498,498,0.9337349397590361,497,497,33
0,51,174,18,716,716,695,0.7569832402234637,542,542,54
0,52,1,115,928,928,904,0.9989224137931034,977,977,58
0,53,22,228,505,505,501,0.9564356435643564,708,708,17
0,54,1,17,598,598,594,0.9983277591973244,598,598,16
0,55,1,12,455,455,452,0.9978021978021978,454,454,13
0,56,0,217,288,288,286,1.0,488,488,17
0,57,3,2,414,414,412,0.9927536231884058,412,412,5
0,58,285,20,692,692,668,0.5881502890173411,422,422,47
0,59,0,211,514,514,490,1.0,677,677,48
0,60,1,38,360,360,357,0.9972222222222222,359,359,39
0,61,119,0,504,504,499,0.7638888888888888,450,450,30
0,62,0,149,255,255,254,1.0,402,402,37
0,63,70,86,406,406,408,0.8275862068965517,440,440,17
0,64,5,0,654,654,652,0.9923547400611621,651,651,4
0,65,23,0,1891,1891,1888,0.98783712321523,1887,1887,22
0,66,99,178,420,420,410,0.7642857142857142,588,588,99
0,67,2,9,272,272,271,0.9926470588235294,272,272,7
0,68,2,58,374,374,369,0.9946524064171123,374,374,56
0,69,1,53,284,284,279,0.9964788732394366,283,283,54
0,70,1,55,285,285,280,0.9964912280701754,284,284,56
0,71,1,14,256,256,254,0.99609375,255,255,15
0,72,1,35,253,253,249,0.9960474308300395,252,252,36
0,73,1,28,295,295,291,0.9966101694915255,294,294,29
0,74,1,2,218,218,217,0.9954128440366973,217,217,3
0,75,1,2,227,227,226,0.9955947136563876,226,226,3
0,76,44,34,325,325,306,0.8646153846153846,292,292,57
0,77,1,12,226,226,217,0.995575221238938,225,225,13
0,78,0,147,212,212,211,1.0,356,356,17
0,79,1,77,639,639,631,0.9984350547730829,638,638,78
0,80,1,213,657,657,638,0.9984779299847792,656,656,214
0,81,1,12,369,369,366,0.997289972899729,368,368,13
0,82,1,165,445,445,442,0.9977528089887641,586,586,13
0,83,1,52,274,274,270,0.9963503649635036,273,273,53
0,84,1,2,209,209,208,0.9952153110047847,208,208,3
0,85,1,3,200,200,199,0.995,200,200,3
0,86,0,151,218,218,216,1.0,358,358,11
0,87,41,18,275,275,256,0.850909090909091,242,242,51
0,88,32,164,220,220,219,0.8545454545454545,346,346,3
0,89,1,2,226,226,225,0.995575221238938,225,225,3
0,90,1,11,343,343,341,0.9970845481049563,347,347,7
0,91,4,153,212,212,211,0.9811320754716981,361,361,4
0,92,1,5,235,235,233,0.9957446808510638,234,234,6
0,93,2,58,307,307,279,0.993485342019544,305,305,60
0,94,358,0,1092,1092,1075,0.6721611721611722,1041,1041,325
0,95,1,8,308,308,307,0.9967532467532467,307,307,9
0,96,1,7,345,345,344,0.9971014492753624,344,344,7
0,97,174,133,487,487,482,0.6427104722792607,430,430,103
0,98,1,2,299,299,302,0.9966555183946488,302,302,3
0,99,1,47,444,444,446,0.9977477477477478,443,443,48
0,100,755,0,1550,1550,1537,0.5129032258064516,927,927,62
0,101,44,171,408,408,388,0.892156862745098,559,559,44
